# Verified urban-flood event ledger, Guwahati (Kamrup Metropolitan). One row per event-locality pair.
# Source: docs/guwahati_flash_flood_events_2018_2025.md (source-verified inventory). Built by scripts/build_flood_ledger.py.
# lat/lon are LOCALITY CENTROIDS from OpenStreetMap Nominatim, NOT surveyed flood polygons. They are weak labels.
# geocode_quality: place_centroid | named_feature_point (e.g. a bus stop named for the locality) | road_segment_point | unresolved (blank lat/lon).
# A name is accepted only if an OSM feature has EXACTLY that name; unresolved names are left blank, never guessed.
# rainfall_mm is blank where the source reports none or reports unreconciled figures; no nearby or modelled value is substituted.
# Excluded: 14 Jun 2022 (Boragaon) - source grades it C for flood validation (B for landslide).
# Read with pandas.read_csv(path, comment='#').
date,locality,lat,lon,rainfall_mm,evidence_grade,source_url,geocode_source,locality_type,geocode_quality,notes
2024-08-05,Chandmari/Maniram Dewan Road,26.184116,91.774091,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim, plain-name query 'Chandmari' bounded to Kamrup Metropolitan; accepted OSM node 6160817648 (place=suburb), exact name match, quality place_centroid, 1 accepted of 1 returned, first taken; retrieved 2026-09-19; a point of an OSM feature, not a surveyed flood polygon",neighbourhood,place_centroid,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding. Geocoded as 'Chandmari'."
2024-08-05,Maligaon,26.160045,91.695809,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim, plain-name query 'Maligaon' bounded to Kamrup Metropolitan; accepted OSM node 6163787851 (place=town), exact name match, quality place_centroid, 1 accepted of 1 returned, first taken; retrieved 2026-09-19; a point of an OSM feature, not a surveyed flood polygon",neighbourhood,place_centroid,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
2024-08-05,Hatigaon,26.132573,91.77966,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim, plain-name query 'Hatigaon' bounded to Kamrup Metropolitan; accepted OSM node 6160729426 (place=suburb), exact name match, quality place_centroid, 1 accepted of 1 returned, first taken; retrieved 2026-09-19; a point of an OSM feature, not a surveyed flood polygon",neighbourhood,place_centroid,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
2024-08-05,Beltola,26.123721,91.799099,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim, plain-name query 'Beltola' bounded to Kamrup Metropolitan; accepted OSM node 6160810152 (place=suburb), exact name match, quality place_centroid, 1 accepted of 1 returned, first taken; retrieved 2026-09-19; a point of an OSM feature, not a surveyed flood polygon",neighbourhood,place_centroid,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
2024-08-05,Lachit Nagar,,,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim: no returned candidate (of 6) has an OSM name equal to 'Lachit Nagar'; coordinates left blank, not guessed; retrieved 2026-09-19",neighbourhood,unresolved,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
2024-08-05,Rukminigaon,26.135777,91.802866,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim, plain-name query 'Rukminigaon' bounded to Kamrup Metropolitan; accepted OSM node 11378891569 (highway=bus_stop), exact name match, quality named_feature_point, 1 accepted of 1 returned, first taken; retrieved 2026-09-19; a point of an OSM feature, not a surveyed flood polygon",neighbourhood,named_feature_point,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
2024-08-05,GS Road,,,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim: no returned candidate (of 0) has an OSM name equal to 'GS Road'; coordinates left blank, not guessed; retrieved 2026-09-19",road_corridor,unresolved,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
2024-08-05,Zoo Road,26.147501,91.786104,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim, plain-name query 'Zoo Road' bounded to Kamrup Metropolitan; accepted OSM way 1267019488 (highway=secondary), exact name match, quality road_segment_point, 1 accepted of 5 returned, first taken; retrieved 2026-09-19; a point of an OSM feature, not a surveyed flood polygon",road_corridor,road_segment_point,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
2024-08-05,RG Baruah Road,,,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim: no returned candidate (of 0) has an OSM name equal to 'RG Baruah Road'; coordinates left blank, not guessed; retrieved 2026-09-19",road_corridor,unresolved,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
2024-08-05,Nabin Nagar,,,78.4,B,https://timesofindia.indiatimes.com/city/guwahati/guwahati-records-years-highest-single-day-rainfall-life-disrupted/articleshow/112331073.cms | https://timesofindia.indiatimes.com/city/guwahati/hour-long-rainfall-causes-chaos-in-city-floods-streets/amp_articleshow/112301324.cms | https://theprint.in/india/heavy-rain-leads-to-waterlogging-disruption-of-normal-life-in-assams-guwahati/2209665/,"OpenStreetMap Nominatim: no returned candidate (of 0) has an OSM name equal to 'Nabin Nagar'; coordinates left blank, not guessed; retrieved 2026-09-19",neighbourhood,unresolved,"78.4 mm is the RMC city total for 08:30 5 Aug to 08:30 6 Aug (24 h), not the ~1-hour downpour that caused the flooding."
